iter	Passed	Remaining
988	149677	1664
989	149736	1512
990	149798	1360
991	149862	1208
992	149926	1056
993	149990	905
994	150049	754
995	150111	602
996	150175	451
997	150244	301
998	150310	150
999	150360	0
